dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	numTSSEnhGene	distanceToTSS	normalizedDNase_prom	sumNearbyEnhancers	ubiquitousExpressedGene	numCandidateEnhGene	3DContact	ABC.Score
FlowFISH_K562	chr11	3345635	3346135	HBE1|chr11:3366865-3367365:*	0.07522902	chr11	5505651	5505652	HBE1	FALSE	0.983456805451	0.999998028858	TRUE	K562	Klann2017	FALSE	53	1924249	0.571543	116.87375	0	153	4.209443	0.000629
FlowFISH_K562	chr11	3404095	3405035	HBE1|chr11:3425325-3426265:*	0.05967325	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999278544596	TRUE	K562	Klann2017	FALSE	50	1865469	0.571543	223.4825	0	148	0.000146	0
FlowFISH_K562	chr11	3408215	3409115	HBE1|chr11:3429445-3430345:*	-0.00036393	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.999671070349	TRUE	K562	Klann2017	FALSE	50	1861253	0.571543	2132.683875	0	147	0.000147	0
FlowFISH_K562	chr11	3416895	3417395	HBE1|chr11:3438125-3438625:*	0.05284707	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.822437537062	TRUE	K562	Klann2017	FALSE	50	1852961	0.571543	0	0	145	0.000147	0
FlowFISH_K562	chr11	3422455	3422955	HBE1|chr11:3443685-3444185:*	0.00525852	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.99999259346	TRUE	K562	Klann2017	FALSE	50	1847275	0.571543	0	0	144	0.000148	0
FlowFISH_K562	chr11	3505975	3506475	HBE1|chr11:3527205-3527705:*	0.06717458	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.905757930134	TRUE	K562	Klann2017	FALSE	50	1764035	0.571543	377.824	0	128	25.95596	0.003566
FlowFISH_K562	chr11	3579575	3580075	HBE1|chr11:3600805-3601305:*	-0.0895843	chr11	5505651	5505652	HBE1	FALSE	0.435003559484	0.974306828458	TRUE	K562	Klann2017	FALSE	49	1690121.5	0.571543	125.618125	0	114	0.000162	0
FlowFISH_K562	chr11	3609575	3610115	HBE1|chr11:3630805-3631345:*	-0.02557413	chr11	5505651	5505652	HBE1	FALSE	0.466838498236	0.999999700731	TRUE	K562	Klann2017	FALSE	49	1660287	0.571543	186.914	0	108	0.000165	0
FlowFISH_K562	chr11	3614155	3615035	HBE1|chr11:3635385-3636265:*	0.0052052	chr11	5505651	5505652	HBE1	FALSE	0.877345771166	0.998678698395	TRUE	K562	Klann2017	FALSE	49	1655313	0.571543	30.8315	0	107	0.000165	0
FlowFISH_K562	chr11	3801895	3802395	HBE1|chr11:3823125-3823625:*	0.01810731	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.836257996608	TRUE	K562	Klann2017	FALSE	0	1467998	0	0	0	0	0	0
FlowFISH_K562	chr11	3824675	3825195	HBE1|chr11:3845905-3846425:*	0.0596111	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999999978927	TRUE	K562	Klann2017	FALSE	43	1445232	0.571543	642.809916	0	98	6.306073	0.001166
FlowFISH_K562	chr11	3825255	3825755	HBE1|chr11:3846485-3846985:*	0.05409503	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999818799083	TRUE	K562	Klann2017	FALSE	43	1444605	0.571543	850.391388	0	97	0.00019	0
FlowFISH_K562	chr11	3825855	3826395	HBE1|chr11:3847085-3847625:*	0.02757339	chr11	5505651	5505652	HBE1	FALSE	0.983456805451	0.965988003287	TRUE	K562	Klann2017	FALSE	43	1444094	0.571543	740.0799	0	96	0.00019	0
FlowFISH_K562	chr11	3831615	3832135	HBE1|chr11:3852845-3853365:*	0.1157877	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.976338315014	TRUE	K562	Klann2017	FALSE	43	1438252	0.571543	3057.73272	0	95	0.000191	0
FlowFISH_K562	chr11	3834495	3835395	HBE1|chr11:3855725-3856625:*	0.04443549	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999999939204	TRUE	K562	Klann2017	FALSE	43	1435332	0.571543	2107.269108	0	94	0.000191	0
FlowFISH_K562	chr11	3837695	3838215	HBE1|chr11:3858925-3859445:*	0.09071359	chr11	5505651	5505652	HBE1	FALSE	0.967834268322	0.999900076768	TRUE	K562	Klann2017	FALSE	43	1432183	0.571543	5405.055012	0	93	2.834878	0.00102
FlowFISH_K562	chr11	3839095	3839635	HBE1|chr11:3860325-3860865:*	0.05803713	chr11	5505651	5505652	HBE1	FALSE	0.995272609284	0.999914077431	TRUE	K562	Klann2017	FALSE	43	1430738	0.571543	5799.16512	0	92	2.834437	0.000584
FlowFISH_K562	chr11	3849115	3849635	HBE1|chr11:3870345-3870865:*	0.07411536	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.989594889721	TRUE	K562	Klann2017	FALSE	42	1420735	0.571543	2678.958072	0	91	6.13468	0.000407
FlowFISH_K562	chr11	3859475	3860235	HBE1|chr11:3880705-3881465:*	0.07910144	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999999998783	TRUE	K562	Klann2017	FALSE	41	1410393	0.571543	3079.831482	0	90	4.000534	0.00098
FlowFISH_K562	chr11	3860795	3861295	HBE1|chr11:3882025-3882525:*	0.07103007	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999814642608	TRUE	K562	Klann2017	FALSE	41	1409122	0.571543	4520.712294	0	89	3.292123	0.000515
FlowFISH_K562	chr11	3865695	3866655	HBE1|chr11:3886925-3887885:*	0.03039849	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.993933403412	TRUE	K562	Klann2017	FALSE	41	1403958.5	0.571543	2192.64822	0	88	4.198532	0.001989
FlowFISH_K562	chr11	3867355	3867855	HBE1|chr11:3888585-3889085:*	0.01479577	chr11	5505651	5505652	HBE1	FALSE	0.892111934732	0.999998092404	TRUE	K562	Klann2017	FALSE	41	1402476	0.571543	1826.819064	0	87	4.197848	0.001931
FlowFISH_K562	chr11	3871155	3871655	HBE1|chr11:3892385-3892885:*	0.05418742	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999025747415	TRUE	K562	Klann2017	FALSE	41	1398737	0.571543	2392.705602	0	86	3.164565	0.000757
FlowFISH_K562	chr11	3878615	3879135	HBE1|chr11:3899845-3900365:*	0.08436533	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.993596115881	TRUE	K562	Klann2017	FALSE	41	1391259	0.571543	215.519724	0	84	0.000198	0
FlowFISH_K562	chr11	3894095	3894675	HBE1|chr11:3915325-3915905:*	-0.02846137	chr11	5505651	5505652	HBE1	FALSE	0.466838498236	0.999993337548	TRUE	K562	Klann2017	FALSE	41	1375550	0.571543	542.626938	0	81	5.659739	0.000515
FlowFISH_K562	chr11	3903475	3903975	HBE1|chr11:3924705-3925205:*	0.11636695	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.999347088634	TRUE	K562	Klann2017	FALSE	41	1366381	0.571543	426.933234	0	78	0.000201	0
FlowFISH_K562	chr11	3904915	3905415	HBE1|chr11:3926145-3926645:*	0.05141407	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999517341335	TRUE	K562	Klann2017	FALSE	41	1364956	0.571543	410.56344	0	77	0.000202	0
FlowFISH_K562	chr11	3954395	3954915	HBE1|chr11:3975625-3976145:*	0.00450323	chr11	5505651	5505652	HBE1	FALSE	0.912207910257	0.99290694142	TRUE	K562	Klann2017	FALSE	41	1315471	0.571543	409.43052	0	72	5.580051	0.000452
FlowFISH_K562	chr11	3958755	3959375	HBE1|chr11:3979985-3980605:*	0.04199854	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999992201497	TRUE	K562	Klann2017	FALSE	41	1310907	0.571543	311.373234	0	70	2.840055	0.000161
FlowFISH_K562	chr11	3971415	3972295	HBE1|chr11:3992645-3993525:*	0.16298112	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.804001637599	TRUE	K562	Klann2017	FALSE	41	1297974	0.571543	214.72659	0	68	0.000212	0
FlowFISH_K562	chr11	3976935	3977495	HBE1|chr11:3998165-3998725:*	-0.01602298	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.998173119378	TRUE	K562	Klann2017	FALSE	41	1293080	0.571543	81.83435	0	67	0.000213	0
FlowFISH_K562	chr11	3984855	3985355	HBE1|chr11:4006085-4006585:*	-0.05183805	chr11	5505651	5505652	HBE1	FALSE	0.128250050235	0.999999995551	TRUE	K562	Klann2017	FALSE	41	1285022	0.571543	72.7922	0	66	0.000214	0
FlowFISH_K562	chr11	3993915	3994415	HBE1|chr11:4015145-4015645:*	-0.02300379	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.922757711716	TRUE	K562	Klann2017	FALSE	41	1275893	0.571543	336.36278	0	64	0.000216	0
FlowFISH_K562	chr11	3995895	3996415	HBE1|chr11:4017125-4017645:*	0.05363814	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999999386014	TRUE	K562	Klann2017	FALSE	41	1273999	0.571543	208.01612	0	63	0.000216	0
FlowFISH_K562	chr11	4043955	4044495	HBE1|chr11:4065185-4065725:*	0.08707607	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999487332825	TRUE	K562	Klann2017	FALSE	41	1225892	0.571543	36.675677	0	60	3.03802	0.000104
FlowFISH_K562	chr11	4072595	4073155	HBE1|chr11:4093825-4094385:*	0.09567253	chr11	5505651	5505652	HBE1	FALSE	0.944568866097	0.999838853069	TRUE	K562	Klann2017	FALSE	41	1197264	0.571543	0	0	57	0.00023	0
FlowFISH_K562	chr11	4091955	4092475	HBE1|chr11:4113185-4113705:*	0.02123284	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999808283554	TRUE	K562	Klann2017	FALSE	41	1177937	0.571543	2123.958675	0	55	7.952772	0.000694
FlowFISH_K562	chr11	4145695	4146935	HBE1|chr11:4166925-4168165:*	0.09800599	chr11	5505651	5505652	HBE1	FALSE	0.912207910257	0.999980422596	TRUE	K562	Klann2017	FALSE	40	1123563.5	0.571543	121.639919	0	51	5.323073	0.001547
FlowFISH_K562	chr11	4182015	4182535	HBE1|chr11:4203245-4203765:*	0.05247865	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999978076925	TRUE	K562	Klann2017	FALSE	40	1088028.5	0.571543	155.078455	0	48	0.000254	0
FlowFISH_K562	chr11	4184495	4184995	HBE1|chr11:4205725-4206225:*	-0.00771111	chr11	5505651	5505652	HBE1	FALSE	0.742137392925	0.999999999811	TRUE	K562	Klann2017	FALSE	0	1085398	0	0	0	0	0	0
FlowFISH_K562	chr11	4194815	4195335	HBE1|chr11:4216045-4216565:*	0.0346704	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.99998886419	TRUE	K562	Klann2017	FALSE	39	1075009	0.571543	204.056735	0	45	11.42228	0.00144
FlowFISH_K562	chr11	4493195	4493695	HBE1|chr11:4514425-4514925:*	0.01464162	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.997689692726	TRUE	K562	Klann2017	FALSE	35	776939	0.571543	26.94789	0	36	5.395402	5e-04
FlowFISH_K562	chr11	4539475	4539975	HBE1|chr11:4560705-4561205:*	-0.02062667	chr11	5505651	5505652	HBE1	FALSE	0.600189196236	0.999999960114	TRUE	K562	Klann2017	FALSE	35	730345	0.571543	0	0	35	0.000382	0
FlowFISH_K562	chr11	4626095	4626635	HBE1|chr11:4647325-4647865:*	0.03847498	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.95774707572	TRUE	K562	Klann2017	FALSE	30	643761	0.571543	0	0	33	7.342826	0.000352
FlowFISH_K562	chr11	4636835	4637355	HBE1|chr11:4658065-4658585:*	0.05426002	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999992171445	TRUE	K562	Klann2017	FALSE	30	633055	0.571543	47.02132	0	32	4.496629	0.000244
FlowFISH_K562	chr11	4658455	4659495	HBE1|chr11:4679685-4680725:*	0.07119471	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.99999227097	TRUE	K562	Klann2017	FALSE	28	611199	0.571543	0	0	31	10.203744	0.004575
FlowFISH_K562	chr11	4890355	4890855	HBE1|chr11:4911585-4912085:*	0.03521118	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999997677762	TRUE	K562	Klann2017	FALSE	0	379538	0	0	0	0	0	0
FlowFISH_K562	chr11	4891935	4892475	HBE1|chr11:4913165-4913705:*	-0.00109209	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.999996135887	TRUE	K562	Klann2017	FALSE	21	377966	0.571543	0	0	29	2.548422	0.000145
FlowFISH_K562	chr11	4990975	4991535	HBE1|chr11:5012205-5012765:*	0.03914723	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.9999998462	TRUE	K562	Klann2017	FALSE	15	278913	0.571543	27.347118	0	28	4.011543	0.000232
FlowFISH_K562	chr11	5124035	5124535	HBE1|chr11:5145265-5145765:*	0.06248412	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999917497391	TRUE	K562	Klann2017	FALSE	11	145871	0.571543	1350.638475	0	24	28.803989	0.004068
FlowFISH_K562	chr11	5129295	5129835	HBE1|chr11:5150525-5151065:*	-0.05954179	chr11	5505651	5505652	HBE1	FALSE	0.466838498236	0.989351555056	TRUE	K562	Klann2017	FALSE	11	140662.5	0.571543	1568.46561	0	23	26.239534	0.01272
FlowFISH_K562	chr11	5171815	5172315	HBE1|chr11:5193045-5193545:*	0.06723772	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.889652045524	TRUE	K562	Klann2017	FALSE	9	98077	0.571543	0	0	17	19.656225	0.001406
FlowFISH_K562	chr11	5196035	5196535	HBE1|chr11:5217265-5217765:*	0.08846575	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.998523503088	TRUE	K562	Klann2017	FALSE	8	73880	0.571543	546.21702	0	16	23.637309	0.002608
FlowFISH_K562	chr11	5204735	5205255	HBE1|chr11:5225965-5226485:*	-0.0377189	chr11	5505651	5505652	HBE1	FALSE	0.399113176206	0.999999959458	TRUE	K562	Klann2017	FALSE	7	65124	0.571543	303.487965	0	13	42.471166	0.006014
FlowFISH_K562	chr11	5224435	5225275	HBE1|chr11:5245665-5246505:*	0.02971878	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999999889384	TRUE	K562	Klann2017	FALSE	7	45434	0.571543	428.811418	0	11	25.037809	0.005874
FlowFISH_K562	chr11	5225415	5225955	HBE1|chr11:5246645-5247185:*	0.0328367	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999999999483	TRUE	K562	Klann2017	FALSE	7	44445	0.571543	824.365521	0	10	24.904791	0.002201
FlowFISH_K562	chr11	5258555	5259055	HBE1|chr11:5279785-5280285:*	0.00088748	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.99999856477	TRUE	K562	Klann2017	FALSE	1	11402	0.571543	1166.052091	0	2	104.192999	0.019523
FlowFISH_K562	chr11	5275735	5276235	HBE1|chr11:5296965-5297465:*	-0.32358968	chr11	5505651	5505652	HBE1	TRUE	3.07477010334e-13	0.993058229513	TRUE	K562	Klann2017	TRUE	1	5851	0.571543	1538.86018	0	1	389.853891	0.169595
FlowFISH_K562	chr11	5275754	5276060	HBG2|chr11:5296984-5297290:*	-0.499976039	chr11	5505604	5505605	HBG2	TRUE	1.9603e-05		TRUE	K562	Xie2017	TRUE	2	21213	0.872689	1538.86018	0	3	127.458903	0.0421
FlowFISH_K562	chr11	5278635	5279175	HBE1|chr11:5299865-5300405:*	-0.09513497	chr11	5505651	5505652	HBE1	TRUE	0.046075154697	0.998036218338	TRUE	K562	Klann2017	TRUE	1	8771	0.571543	2387.121248	0	2	414.947805	0.048769
FlowFISH_K562	chr11	5280370	5281170	HBE1|chr11:5301600-5302400:*	-0.864802	chr11	5505651	5505652	HBE1	TRUE	3.45e-99	0.56	TRUE	K562	Thakore2015	TRUE	1	10624	0.571543	2253.048478	0	3	137.736197	0.06398
FlowFISH_K562	chr11	5280370	5281170	HBG2|chr11:5301600-5302400:*	-0.738582	chr11	5505604	5505605	HBG2	TRUE	1.9e-52	0.55	TRUE	K562	Thakore2015	TRUE	2	25986	0.872689	2253.048478	0	5	124.098586	0.043769
FlowFISH_K562	chr11	5284535	5285035	HBE1|chr11:5305765-5306265:*	-0.42208564	chr11	5505651	5505652	HBE1	TRUE	3.30953115421e-29	0.99946951484	TRUE	K562	Klann2017	TRUE	1	14652	0.571543	2561.90688	0	4	144.727305	0.042879
FlowFISH_K562	chr11	5284694	5284860	HBG2|chr11:5305924-5306090:*	-0.415828463	chr11	5505604	5505605	HBG2	TRUE	1.97e-06		TRUE	K562	Xie2017	TRUE	2	30014	0.872689	2561.90688	0	6	126.88581	0.028543
FlowFISH_K562	chr11	5288035	5288555	HBE1|chr11:5309265-5309785:*	-0.46675139	chr11	5505651	5505652	HBE1	TRUE	9.58254193327e-31	0.999999301054	TRUE	K562	Klann2017	TRUE	1	18125	0.571543	1214.32711	0	5	93.888992	0.047365
FlowFISH_K562	chr11	5288183	5288360	HBG2|chr11:5309413-5309590:*	-0.582503716	chr11	5505604	5505605	HBG2	TRUE	3.11e-11		TRUE	K562	Xie2017	TRUE	2	33487	0.872689	1214.32711	0	7	144.784635	0.055458
FlowFISH_K562	chr11	5291175	5291675	HBE1|chr11:5312405-5312905:*	-0.07378941	chr11	5505651	5505652	HBE1	FALSE	0.0583594577366	0.999694083481	TRUE	K562	Klann2017	FALSE	1	21251	0.571543	1406.57387	0	6	57.211116	0.009399
FlowFISH_K562	chr11	5335115	5335635	HBE1|chr11:5356345-5356865:*	-0.04330527	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.974964572929	TRUE	K562	Klann2017	FALSE	3	65240	0.571543	103.90016	0	10	10.002635	0.001137
FlowFISH_K562	chr11	5363635	5364635	HBE1|chr11:5384865-5385865:*	0.07257341	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.89602286625	TRUE	K562	Klann2017	FALSE	4	93764	0.571543	0	0	12	21.976853	0.002016
FlowFISH_K562	chr11	5369755	5370295	HBE1|chr11:5390985-5391525:*	0.06727658	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.985432872347	TRUE	K562	Klann2017	FALSE	4	99883	0.571543	0	0	13	13.448361	0.000861
FlowFISH_K562	chr11	5380675	5381175	HBE1|chr11:5401905-5402405:*	0.00848271	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.999999991149	TRUE	K562	Klann2017	FALSE	4	110775	0.571543	0	0	14	8.922839	0.000298
FlowFISH_K562	chr11	5476135	5476675	HBE1|chr11:5497365-5497905:*	0.00064985	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.999997297137	TRUE	K562	Klann2017	FALSE	9	206262	0.571543	116.456088	0	16	19.248017	0.001968
FlowFISH_K562	chr11	5506995	5507615	HBE1|chr11:5528225-5528845:*	0.03575502	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.97904822226	TRUE	K562	Klann2017	FALSE	11	237231	0.571543	1521.535623	0	25	12.014713	0.00043
FlowFISH_K562	chr11	5530995	5531795	HBE1|chr11:5552225-5553025:*	0.03007019	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999952586376	TRUE	K562	Klann2017	FALSE	14	261298.5	0.571543	248.699484	0	30	9.250023	0.002489
FlowFISH_K562	chr11	5591615	5592135	HBE1|chr11:5612845-5613365:*	0.06003635	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.99999998596	TRUE	K562	Klann2017	FALSE	16	321703	0.571543	1600.75932	0	36	10.524511	0.001834
FlowFISH_K562	chr11	5600255	5600775	HBE1|chr11:5621485-5622005:*	-0.01864821	chr11	5505651	5505652	HBE1	FALSE	0.466838498236	0.999999999953	TRUE	K562	Klann2017	FALSE	18	330342	0.571543	1480.45728	0	37	11.027805	0.001732
FlowFISH_K562	chr11	5690235	5691935	HBE1|chr11:5711465-5713165:*	0.01959888	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999399802379	TRUE	K562	Klann2017	FALSE	21	420501.5	0.571543	190.268148	0	40	11.9743635	0.001262
FlowFISH_K562	chr11	5809875	5810895	HBE1|chr11:5831105-5832125:*	0.06084099	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.988927094629	TRUE	K562	Klann2017	FALSE	25	540240	0.571543	44.755088	0	42	2.741353	0.000868
FlowFISH_K562	chr11	6249775	6250295	HBE1|chr11:6271005-6271525:*	0.03357352	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999999999152	TRUE	K562	Klann2017	FALSE	40	979864	0.571543	217.276185	0	55	0.000283	0
FlowFISH_K562	chr11	6251055	6251595	HBE1|chr11:6272285-6272825:*	0.10482519	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.998890495331	TRUE	K562	Klann2017	FALSE	40	981183	0.571543	198.677535	0	56	0.000283	0
FlowFISH_K562	chr11	6251815	6252335	HBE1|chr11:6273045-6273565:*	0.0629672	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999999824545	TRUE	K562	Klann2017	FALSE	40	981965	0.571543	259.07385	0	57	0.000282	0
FlowFISH_K562	chr11	6315775	6316275	HBE1|chr11:6337005-6337505:*	-0.0267693	chr11	5505651	5505652	HBE1	FALSE	0.435003559484	0.999999999643	TRUE	K562	Klann2017	FALSE	41	1045849	0.571543	100.733152	0	59	0.000265	0
FlowFISH_K562	chr11	6353295	6353855	HBE1|chr11:6374525-6375085:*	0.00895749	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.9999999987	TRUE	K562	Klann2017	FALSE	42	1083468	0.571543	44.856032	0	60	7.33091	0.000218
FlowFISH_K562	chr11	6357155	6357655	HBE1|chr11:6378385-6378885:*	0.04428717	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999999930382	TRUE	K562	Klann2017	FALSE	42	1087281	0.571543	62.770864	0	61	0.000254	0
FlowFISH_K562	chr11	6362975	6363495	HBE1|chr11:6384205-6384725:*	0.05173158	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999990135981	TRUE	K562	Klann2017	FALSE	42	1093111	0.571543	36.240776	0	62	5.240941	0.000324
FlowFISH_K562	chr11	6367235	6367775	HBE1|chr11:6388465-6389005:*	0.05514011	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999575746539	TRUE	K562	Klann2017	FALSE	42	1097410	0.571543	130.794976	0	63	0.000252	0
FlowFISH_K562	chr11	6379155	6379675	HBE1|chr11:6400385-6400905:*	0.0865846	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.998195177073	TRUE	K562	Klann2017	FALSE	42	1109299	0.571543	0	0	64	7.203997	0.000241
FlowFISH_K562	chr11	6438895	6439415	HBE1|chr11:6460125-6460645:*	0.01327636	chr11	5505651	5505652	HBE1	FALSE	0.877345771166	0.999997842841	TRUE	K562	Klann2017	FALSE	44	1169044	0.571543	86.059899	0	67	0.000236	0
FlowFISH_K562	chr11	6443335	6443835	HBE1|chr11:6464565-6465065:*	0.04351588	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999988775764	TRUE	K562	Klann2017	FALSE	45	1173436	0.571543	81.401724	0	68	2.357746	5.1e-05
FlowFISH_K562	chr11	6468995	6469535	HBE1|chr11:6490225-6490765:*	0.03943105	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999999999995	TRUE	K562	Klann2017	FALSE	45	1199136	0.571543	446.955934	0	69	2.921479	0.000356
FlowFISH_K562	chr11	6475215	6475715	HBE1|chr11:6496445-6496945:*	0.08676795	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.980569272115	TRUE	K562	Klann2017	FALSE	0	1205322	0	0	0	0	0	0
FlowFISH_K562	chr11	6531235	6531735	HBE1|chr11:6552465-6552965:*	0.02023369	chr11	5505651	5505652	HBE1	FALSE	0.912207910257	0.999999127236	TRUE	K562	Klann2017	FALSE	49	1261312	0.571543	0	0	71	0.000219	0
FlowFISH_K562	chr11	6554775	6555735	HBE1|chr11:6576005-6576965:*	0.0696405	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999973115106	TRUE	K562	Klann2017	FALSE	49	1285128.5	0.571543	0	0	73	0.000214	0
FlowFISH_K562	chr11	6563215	6563735	HBE1|chr11:6584445-6584965:*	0.05071207	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999994951975	TRUE	K562	Klann2017	FALSE	49	1293361	0.571543	338.160124	0	74	0.000213	0
