dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated
FlowFISH_K562	chr11	3345635	3346135	HBE1|chr11:3366865-3367365:*	0.07522902	chr11	5505651.0	5505652.0	HBE1	False	0.983456805451	0.999998028858	True	K562	Klann2017	False
FlowFISH_K562	chr11	3404095	3405035	HBE1|chr11:3425325-3426265:*	0.05967325	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999278544596	True	K562	Klann2017	False
FlowFISH_K562	chr11	3408215	3409115	HBE1|chr11:3429445-3430345:*	-0.00036393	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.999671070349	True	K562	Klann2017	False
FlowFISH_K562	chr11	3416895	3417395	HBE1|chr11:3438125-3438625:*	0.05284707	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.822437537062	True	K562	Klann2017	False
FlowFISH_K562	chr11	3422455	3422955	HBE1|chr11:3443685-3444185:*	0.00525852	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.99999259346	True	K562	Klann2017	False
FlowFISH_K562	chr11	3505975	3506475	HBE1|chr11:3527205-3527705:*	0.06717458	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.905757930134	True	K562	Klann2017	False
FlowFISH_K562	chr11	3579575	3580075	HBE1|chr11:3600805-3601305:*	-0.0895843	chr11	5505651.0	5505652.0	HBE1	False	0.435003559484	0.974306828458	True	K562	Klann2017	False
FlowFISH_K562	chr11	3609575	3610115	HBE1|chr11:3630805-3631345:*	-0.02557413	chr11	5505651.0	5505652.0	HBE1	False	0.466838498236	0.999999700731	True	K562	Klann2017	False
FlowFISH_K562	chr11	3614155	3615035	HBE1|chr11:3635385-3636265:*	0.0052052	chr11	5505651.0	5505652.0	HBE1	False	0.877345771166	0.998678698395	True	K562	Klann2017	False
FlowFISH_K562	chr11	3801895	3802395	HBE1|chr11:3823125-3823625:*	0.01810731	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.836257996608	True	K562	Klann2017	False
FlowFISH_K562	chr11	3824675	3825195	HBE1|chr11:3845905-3846425:*	0.0596111	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999999978927	True	K562	Klann2017	False
FlowFISH_K562	chr11	3825255	3825755	HBE1|chr11:3846485-3846985:*	0.05409503	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999818799083	True	K562	Klann2017	False
FlowFISH_K562	chr11	3825855	3826395	HBE1|chr11:3847085-3847625:*	0.02757339	chr11	5505651.0	5505652.0	HBE1	False	0.983456805451	0.965988003287	True	K562	Klann2017	False
FlowFISH_K562	chr11	3831615	3832135	HBE1|chr11:3852845-3853365:*	0.1157877	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.976338315014	True	K562	Klann2017	False
FlowFISH_K562	chr11	3834495	3835395	HBE1|chr11:3855725-3856625:*	0.04443549	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999999939204	True	K562	Klann2017	False
FlowFISH_K562	chr11	3837695	3838215	HBE1|chr11:3858925-3859445:*	0.09071359	chr11	5505651.0	5505652.0	HBE1	False	0.967834268322	0.999900076768	True	K562	Klann2017	False
FlowFISH_K562	chr11	3839095	3839635	HBE1|chr11:3860325-3860865:*	0.05803713	chr11	5505651.0	5505652.0	HBE1	False	0.995272609284	0.999914077431	True	K562	Klann2017	False
FlowFISH_K562	chr11	3849115	3849635	HBE1|chr11:3870345-3870865:*	0.07411536	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.989594889721	True	K562	Klann2017	False
FlowFISH_K562	chr11	3859475	3860235	HBE1|chr11:3880705-3881465:*	0.07910144	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999999998783	True	K562	Klann2017	False
FlowFISH_K562	chr11	3860795	3861295	HBE1|chr11:3882025-3882525:*	0.07103007	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999814642608	True	K562	Klann2017	False
FlowFISH_K562	chr11	3865695	3866655	HBE1|chr11:3886925-3887885:*	0.03039849	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.993933403412	True	K562	Klann2017	False
FlowFISH_K562	chr11	3867355	3867855	HBE1|chr11:3888585-3889085:*	0.01479577	chr11	5505651.0	5505652.0	HBE1	False	0.892111934732	0.999998092404	True	K562	Klann2017	False
FlowFISH_K562	chr11	3871155	3871655	HBE1|chr11:3892385-3892885:*	0.05418742	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999025747415	True	K562	Klann2017	False
FlowFISH_K562	chr11	3878615	3879135	HBE1|chr11:3899845-3900365:*	0.08436533	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.993596115881	True	K562	Klann2017	False
FlowFISH_K562	chr11	3894095	3894675	HBE1|chr11:3915325-3915905:*	-0.02846137	chr11	5505651.0	5505652.0	HBE1	False	0.466838498236	0.999993337548	True	K562	Klann2017	False
FlowFISH_K562	chr11	3903475	3903975	HBE1|chr11:3924705-3925205:*	0.11636695	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.999347088634	True	K562	Klann2017	False
FlowFISH_K562	chr11	3904915	3905415	HBE1|chr11:3926145-3926645:*	0.05141407	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999517341335	True	K562	Klann2017	False
FlowFISH_K562	chr11	3954395	3954915	HBE1|chr11:3975625-3976145:*	0.00450323	chr11	5505651.0	5505652.0	HBE1	False	0.912207910257	0.99290694142	True	K562	Klann2017	False
FlowFISH_K562	chr11	3958755	3959375	HBE1|chr11:3979985-3980605:*	0.04199854	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999992201497	True	K562	Klann2017	False
FlowFISH_K562	chr11	3971415	3972295	HBE1|chr11:3992645-3993525:*	0.16298112	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.804001637599	True	K562	Klann2017	False
FlowFISH_K562	chr11	3976935	3977495	HBE1|chr11:3998165-3998725:*	-0.01602298	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.998173119378	True	K562	Klann2017	False
FlowFISH_K562	chr11	3984855	3985355	HBE1|chr11:4006085-4006585:*	-0.05183805	chr11	5505651.0	5505652.0	HBE1	False	0.128250050235	0.999999995551	True	K562	Klann2017	False
FlowFISH_K562	chr11	3993915	3994415	HBE1|chr11:4015145-4015645:*	-0.02300379	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.922757711716	True	K562	Klann2017	False
FlowFISH_K562	chr11	3995895	3996415	HBE1|chr11:4017125-4017645:*	0.05363814	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999999386014	True	K562	Klann2017	False
FlowFISH_K562	chr11	4043955	4044495	HBE1|chr11:4065185-4065725:*	0.08707607	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999487332825	True	K562	Klann2017	False
FlowFISH_K562	chr11	4072595	4073155	HBE1|chr11:4093825-4094385:*	0.09567253	chr11	5505651.0	5505652.0	HBE1	False	0.944568866097	0.999838853069	True	K562	Klann2017	False
FlowFISH_K562	chr11	4091955	4092475	HBE1|chr11:4113185-4113705:*	0.02123284	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999808283554	True	K562	Klann2017	False
FlowFISH_K562	chr11	4145695	4146935	HBE1|chr11:4166925-4168165:*	0.09800599	chr11	5505651.0	5505652.0	HBE1	False	0.912207910257	0.999980422596	True	K562	Klann2017	False
FlowFISH_K562	chr11	4182015	4182535	HBE1|chr11:4203245-4203765:*	0.05247865	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999978076925	True	K562	Klann2017	False
FlowFISH_K562	chr11	4184495	4184995	HBE1|chr11:4205725-4206225:*	-0.00771111	chr11	5505651.0	5505652.0	HBE1	False	0.742137392925	0.999999999811	True	K562	Klann2017	False
FlowFISH_K562	chr11	4194815	4195335	HBE1|chr11:4216045-4216565:*	0.0346704	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.99998886419	True	K562	Klann2017	False
FlowFISH_K562	chr11	4493195	4493695	HBE1|chr11:4514425-4514925:*	0.01464162	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.997689692726	True	K562	Klann2017	False
FlowFISH_K562	chr11	4539475	4539975	HBE1|chr11:4560705-4561205:*	-0.02062667	chr11	5505651.0	5505652.0	HBE1	False	0.600189196236	0.999999960114	True	K562	Klann2017	False
FlowFISH_K562	chr11	4626095	4626635	HBE1|chr11:4647325-4647865:*	0.03847498	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.95774707572	True	K562	Klann2017	False
FlowFISH_K562	chr11	4636835	4637355	HBE1|chr11:4658065-4658585:*	0.05426002	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999992171445	True	K562	Klann2017	False
FlowFISH_K562	chr11	4658455	4659495	HBE1|chr11:4679685-4680725:*	0.07119471	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.99999227097	True	K562	Klann2017	False
FlowFISH_K562	chr11	4890355	4890855	HBE1|chr11:4911585-4912085:*	0.03521118	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999997677762	True	K562	Klann2017	False
FlowFISH_K562	chr11	4891935	4892475	HBE1|chr11:4913165-4913705:*	-0.00109209	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.999996135887	True	K562	Klann2017	False
FlowFISH_K562	chr11	4990975	4991535	HBE1|chr11:5012205-5012765:*	0.03914723	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.9999998462	True	K562	Klann2017	False
FlowFISH_K562	chr11	5124035	5124535	HBE1|chr11:5145265-5145765:*	0.06248412	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999917497391	True	K562	Klann2017	False
FlowFISH_K562	chr11	5129295	5129835	HBE1|chr11:5150525-5151065:*	-0.05954179	chr11	5505651.0	5505652.0	HBE1	False	0.466838498236	0.989351555056	True	K562	Klann2017	False
FlowFISH_K562	chr11	5171815	5172315	HBE1|chr11:5193045-5193545:*	0.06723772	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.889652045524	True	K562	Klann2017	False
FlowFISH_K562	chr11	5196035	5196535	HBE1|chr11:5217265-5217765:*	0.08846575	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.998523503088	True	K562	Klann2017	False
FlowFISH_K562	chr11	5204735	5205255	HBE1|chr11:5225965-5226485:*	-0.0377189	chr11	5505651.0	5505652.0	HBE1	False	0.399113176206	0.999999959458	True	K562	Klann2017	False
FlowFISH_K562	chr11	5224435	5225275	HBE1|chr11:5245665-5246505:*	0.02971878	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999999889384	True	K562	Klann2017	False
FlowFISH_K562	chr11	5225415	5225955	HBE1|chr11:5246645-5247185:*	0.0328367	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999999999483	True	K562	Klann2017	False
FlowFISH_K562	chr11	5258555	5259055	HBE1|chr11:5279785-5280285:*	0.00088748	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.99999856477	True	K562	Klann2017	False
FlowFISH_K562	chr11	5275735	5276235	HBE1|chr11:5296965-5297465:*	-0.32358968	chr11	5505651.0	5505652.0	HBE1	True	3.07477010334e-13	0.993058229513	True	K562	Klann2017	True
FlowFISH_K562	chr11	5275754	5276060	HBG2|chr11:5296984-5297290:*	-0.499976039	chr11	5505604.0	5505605.0	HBG2	True	1.9603e-05		True	K562	Xie2017	True
FlowFISH_K562	chr11	5278635	5279175	HBE1|chr11:5299865-5300405:*	-0.09513497	chr11	5505651.0	5505652.0	HBE1	True	0.046075154697	0.998036218338	True	K562	Klann2017	True
FlowFISH_K562	chr11	5280370	5281170	HBE1|chr11:5301600-5302400:*	-0.864802	chr11	5505651.0	5505652.0	HBE1	True	3.45e-99	0.56	True	K562	Thakore2015	True
FlowFISH_K562	chr11	5280370	5281170	HBG2|chr11:5301600-5302400:*	-0.738582	chr11	5505604.0	5505605.0	HBG2	True	1.9e-52	0.55	True	K562	Thakore2015	True
FlowFISH_K562	chr11	5284535	5285035	HBE1|chr11:5305765-5306265:*	-0.42208564	chr11	5505651.0	5505652.0	HBE1	True	3.3095311542099997e-29	0.99946951484	True	K562	Klann2017	True
FlowFISH_K562	chr11	5284694	5284860	HBG2|chr11:5305924-5306090:*	-0.415828463	chr11	5505604.0	5505605.0	HBG2	True	1.97e-06		True	K562	Xie2017	True
FlowFISH_K562	chr11	5288035	5288555	HBE1|chr11:5309265-5309785:*	-0.46675139	chr11	5505651.0	5505652.0	HBE1	True	9.58254193327e-31	0.999999301054	True	K562	Klann2017	True
FlowFISH_K562	chr11	5288183	5288360	HBG2|chr11:5309413-5309590:*	-0.582503716	chr11	5505604.0	5505605.0	HBG2	True	3.11e-11		True	K562	Xie2017	True
FlowFISH_K562	chr11	5291175	5291675	HBE1|chr11:5312405-5312905:*	-0.07378941	chr11	5505651.0	5505652.0	HBE1	False	0.0583594577366	0.999694083481	True	K562	Klann2017	False
FlowFISH_K562	chr11	5335115	5335635	HBE1|chr11:5356345-5356865:*	-0.04330527	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.974964572929	True	K562	Klann2017	False
FlowFISH_K562	chr11	5363635	5364635	HBE1|chr11:5384865-5385865:*	0.07257341	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.89602286625	True	K562	Klann2017	False
FlowFISH_K562	chr11	5369755	5370295	HBE1|chr11:5390985-5391525:*	0.06727658	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.985432872347	True	K562	Klann2017	False
FlowFISH_K562	chr11	5380675	5381175	HBE1|chr11:5401905-5402405:*	0.00848271	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.999999991149	True	K562	Klann2017	False
FlowFISH_K562	chr11	5476135	5476675	HBE1|chr11:5497365-5497905:*	0.00064985	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.999997297137	True	K562	Klann2017	False
FlowFISH_K562	chr11	5506995	5507615	HBE1|chr11:5528225-5528845:*	0.03575502	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.97904822226	True	K562	Klann2017	False
FlowFISH_K562	chr11	5530995	5531795	HBE1|chr11:5552225-5553025:*	0.03007019	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999952586376	True	K562	Klann2017	False
FlowFISH_K562	chr11	5591615	5592135	HBE1|chr11:5612845-5613365:*	0.06003635	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.99999998596	True	K562	Klann2017	False
FlowFISH_K562	chr11	5600255	5600775	HBE1|chr11:5621485-5622005:*	-0.01864821	chr11	5505651.0	5505652.0	HBE1	False	0.466838498236	0.999999999953	True	K562	Klann2017	False
FlowFISH_K562	chr11	5690235	5691935	HBE1|chr11:5711465-5713165:*	0.01959888	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999399802379	True	K562	Klann2017	False
FlowFISH_K562	chr11	5809875	5810895	HBE1|chr11:5831105-5832125:*	0.06084099	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.988927094629	True	K562	Klann2017	False
FlowFISH_K562	chr11	6249775	6250295	HBE1|chr11:6271005-6271525:*	0.03357352	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999999999152	True	K562	Klann2017	False
FlowFISH_K562	chr11	6251055	6251595	HBE1|chr11:6272285-6272825:*	0.10482519	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.998890495331	True	K562	Klann2017	False
FlowFISH_K562	chr11	6251815	6252335	HBE1|chr11:6273045-6273565:*	0.0629672	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999999824545	True	K562	Klann2017	False
FlowFISH_K562	chr11	6315775	6316275	HBE1|chr11:6337005-6337505:*	-0.0267693	chr11	5505651.0	5505652.0	HBE1	False	0.435003559484	0.999999999643	True	K562	Klann2017	False
FlowFISH_K562	chr11	6353295	6353855	HBE1|chr11:6374525-6375085:*	0.00895749	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.9999999987	True	K562	Klann2017	False
FlowFISH_K562	chr11	6357155	6357655	HBE1|chr11:6378385-6378885:*	0.04428717	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999999930382	True	K562	Klann2017	False
FlowFISH_K562	chr11	6362975	6363495	HBE1|chr11:6384205-6384725:*	0.05173158	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999990135981	True	K562	Klann2017	False
FlowFISH_K562	chr11	6367235	6367775	HBE1|chr11:6388465-6389005:*	0.05514011	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999575746539	True	K562	Klann2017	False
FlowFISH_K562	chr11	6379155	6379675	HBE1|chr11:6400385-6400905:*	0.0865846	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.998195177073	True	K562	Klann2017	False
FlowFISH_K562	chr11	6438895	6439415	HBE1|chr11:6460125-6460645:*	0.01327636	chr11	5505651.0	5505652.0	HBE1	False	0.877345771166	0.999997842841	True	K562	Klann2017	False
FlowFISH_K562	chr11	6443335	6443835	HBE1|chr11:6464565-6465065:*	0.04351588	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999988775764	True	K562	Klann2017	False
FlowFISH_K562	chr11	6468995	6469535	HBE1|chr11:6490225-6490765:*	0.03943105	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999999999995	True	K562	Klann2017	False
FlowFISH_K562	chr11	6475215	6475715	HBE1|chr11:6496445-6496945:*	0.08676795	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.980569272115	True	K562	Klann2017	False
FlowFISH_K562	chr11	6531235	6531735	HBE1|chr11:6552465-6552965:*	0.02023369	chr11	5505651.0	5505652.0	HBE1	False	0.912207910257	0.999999127236	True	K562	Klann2017	False
FlowFISH_K562	chr11	6554775	6555735	HBE1|chr11:6576005-6576965:*	0.0696405	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999973115106	True	K562	Klann2017	False
FlowFISH_K562	chr11	6563215	6563735	HBE1|chr11:6584445-6584965:*	0.05071207	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999994951975	True	K562	Klann2017	False
FlowFISH_K562	chr11	6568415	6568955	HBE1|chr11:6589645-6590185:*	0.0829863	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.99875986822	True	K562	Klann2017	False
FlowFISH_K562	chr11	6576575	6577075	HBE1|chr11:6597805-6598305:*	0.0017278	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.999999987542	True	K562	Klann2017	False
FlowFISH_K562	chr11	6606855	6607355	HBE1|chr11:6628085-6628585:*	0.14344564	chr11	5505651.0	5505652.0	HBE1	False	0.455587559661	0.99747137781	True	K562	Klann2017	False
FlowFISH_K562	chr11	6635214	6636014	HBE1|chr11:6656445-6657245:*	0.08229842	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999997208442	True	K562	Klann2017	False
FlowFISH_K562	chr11	6637894	6638894	HBE1|chr11:6659125-6660125:*	0.0755195	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999988988595	True	K562	Klann2017	False
FlowFISH_K562	chr11	6646034	6647474	HBE1|chr11:6667265-6668705:*	0.08514403	chr11	5505651.0	5505652.0	HBE1	False	0.920003496056	0.999999999997	True	K562	Klann2017	False
FlowFISH_K562	chr11	6650894	6651414	HBE1|chr11:6672125-6672645:*	0.0849659	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999975478718	True	K562	Klann2017	False
FlowFISH_K562	chr11	6667734	6668234	HBE1|chr11:6688965-6689465:*	0.05028986	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999999999953	True	K562	Klann2017	False
FlowFISH_K562	chr11	6681914	6682414	HBE1|chr11:6703145-6703645:*	0.10788652	chr11	5505651.0	5505652.0	HBE1	False	0.912207910257	0.999180782514	True	K562	Klann2017	False
FlowFISH_K562	chr11	6690234	6691234	HBE1|chr11:6711465-6712465:*	0.06402007	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.967244851467	True	K562	Klann2017	False
FlowFISH_K562	chr11	6693894	6694414	HBE1|chr11:6715125-6715645:*	0.04067393	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999992645521	True	K562	Klann2017	False
FlowFISH_K562	chr11	6703394	6703914	HBE1|chr11:6724625-6725145:*	0.02297362	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999906364621	True	K562	Klann2017	False
FlowFISH_K562	chr11	6705834	6706354	HBE1|chr11:6727065-6727585:*	0.06797197	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999967730984	True	K562	Klann2017	False
FlowFISH_K562	chr11	6711454	6711954	HBE1|chr11:6732685-6733185:*	0.07032874	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.99300186062	True	K562	Klann2017	False
FlowFISH_K562	chr11	6728154	6728694	HBE1|chr11:6749385-6749925:*	0.06014761	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999977968203	True	K562	Klann2017	False
FlowFISH_K562	chr11	6737794	6738294	HBE1|chr11:6759025-6759525:*	0.11959996	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.999910185906	True	K562	Klann2017	False
FlowFISH_K562	chr11	6744974	6746094	HBE1|chr11:6766205-6767325:*	-0.00404739	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.99998952169	True	K562	Klann2017	False
FlowFISH_K562	chr11	6747194	6747694	HBE1|chr11:6768425-6768925:*	-0.04178053	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.939263699464	True	K562	Klann2017	False
FlowFISH_K562	chr11	6755254	6755754	HBE1|chr11:6776485-6776985:*	0.00530995	chr11	5505651.0	5505652.0	HBE1	False	0.908619816778	0.999992693388	True	K562	Klann2017	False
FlowFISH_K562	chr11	6757334	6757834	HBE1|chr11:6778565-6779065:*	0.01177353	chr11	5505651.0	5505652.0	HBE1	False	0.967834268322	0.996130215849	True	K562	Klann2017	False
FlowFISH_K562	chr11	6812294	6812834	HBE1|chr11:6833525-6834065:*	0.06492206	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999999996724	True	K562	Klann2017	False
FlowFISH_K562	chr11	7072514	7073014	HBE1|chr11:7093745-7094245:*	0.08265919	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999978994727	True	K562	Klann2017	False
FlowFISH_K562	chr11	7079654	7080194	HBE1|chr11:7100885-7101425:*	0.0311599	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.99999998969	True	K562	Klann2017	False
FlowFISH_K562	chr11	7080774	7081274	HBE1|chr11:7102005-7102505:*	0.04791409	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999669196645	True	K562	Klann2017	False
FlowFISH_K562	chr11	7098154	7098654	HBE1|chr11:7119385-7119885:*	0.00706824	chr11	5505651.0	5505652.0	HBE1	False	0.912207910257	0.999986768353	True	K562	Klann2017	False
FlowFISH_K562	chr11	7278294	7278834	HBE1|chr11:7299525-7300065:*	0.06849547	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.990340752908	True	K562	Klann2017	False
FlowFISH_K562	chr11	7442474	7443054	HBE1|chr11:7463705-7464285:*	0.08707572	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999296531287	True	K562	Klann2017	False
FlowFISH_K562	chr11	61834595	61834918	FADS1|chr11:61602067-61602390:*	-0.580721711	chr11	61829317.0	61829318.0	FADS1	True	1.37e-25		True	K562	Xie2017	True
FlowFISH_K562	chr11	61841784	61841802	FADS1|chr11:61609256-61609274:*	-0.265317927	chr11	61829317.0	61829318.0	FADS1	True	0.0065232		True	K562	Xie2017	True
FlowFISH_K562	chr12	53696201	53696701	COPZ1|chr12:54089985-54090485:*	-0.03057933	chr12	54301202.0	54301203.0	COPZ1	False	0.753598877342	1.0	True	K562	Fulco2019	False
FlowFISH_K562	chr12	53696201	53696701	HNRNPA1|chr12:54089985-54090485:*	0.01000726	chr12	54280193.0	54280194.0	HNRNPA1	False	0.967613756798	0.999574286419	True	K562	Fulco2019	False
FlowFISH_K562	chr12	53696201	53696701	ITGA5|chr12:54089985-54090485:*	-0.024815056	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False
FlowFISH_K562	chr12	53696201	53696701	NFE2|chr12:54089985-54090485:*	-0.0253125	chr12	54301120.0	54301121.0	NFE2	False	0.920785650459	0.999996512423	True	K562	Fulco2019	False
FlowFISH_K562	chr12	53701681	53702221	COPZ1|chr12:54095465-54096005:*	-0.00305569	chr12	54301202.0	54301203.0	COPZ1	False	0.974465417009	1.0	True	K562	Fulco2019	False
FlowFISH_K562	chr12	53701681	53702221	HNRNPA1|chr12:54095465-54096005:*	-0.00444185	chr12	54280193.0	54280194.0	HNRNPA1	False	0.967613756798	0.999999977351	True	K562	Fulco2019	False
FlowFISH_K562	chr12	53701681	53702221	ITGA5|chr12:54095465-54096005:*	-0.005955163	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False
FlowFISH_K562	chr12	53701681	53702221	NFE2|chr12:54095465-54096005:*	0.02402311	chr12	54301120.0	54301121.0	NFE2	False	0.905911734903	0.999997165109	True	K562	Fulco2019	False
FlowFISH_K562	chr12	53719581	53720101	COPZ1|chr12:54113365-54113885:*	-0.03475189	chr12	54301202.0	54301203.0	COPZ1	False	0.753598877342	0.999999999996	True	K562	Fulco2019	False
